ell,model_1,model_2,model_3,model_4,model_5,model_6,model_7,model_8,model_9,model_10
92,3.450035361386E-10,3.890355625504E-10,3.335092554225E-10,3.028017073685E-10,3.651271167862E-10,3.33432593493E-10,3.762434096013E-10,3.264773755453E-10,2.730315820172E-10,3.487004510211E-10
93,3.491454366807E-10,3.938508324448E-10,3.374974630085E-10,3.063894973992E-10,3.694224809462E-10,3.374225769251E-10,3.809634707356E-10,3.305258552869E-10,2.762967885917E-10,3.528874073653E-10
94,3.533189212954E-10,3.986974684725E-10,3.415155029738E-10,3.100061798165E-10,3.737506167713E-10,3.414419023657E-10,3.857170303614E-10,3.346046403167E-10,2.795885410379E-10,3.571039352897E-10
95,3.575236135636E-10,4.035757187636E-10,3.455629074959E-10,3.136514720374E-10,3.78111852583E-10,3.454908546054E-10,3.905037207823E-10,3.387134614688E-10,2.829070238191E-10,3.613503152849E-10
96,3.617589149672E-10,4.084856715038E-10,3.496389863043E-10,3.173248903627E-10,3.825063352969E-10,3.495695616677E-10,3.953229629871E-10,3.428518599638E-10,2.862522785395E-10,3.656266685758E-10
97,3.660239957678E-10,4.13427247372E-10,3.537428176625E-10,3.210257416969E-10,3.869340220562E-10,3.536779875225E-10,4.001739578462E-10,3.470191794915E-10,2.89624197509E-10,3.699329496847E-10
98,3.703177858853E-10,4.184001919781E-10,3.578732393491E-10,3.2475311527E-10,3.913946718661E-10,3.578159247998E-10,4.050556773074E-10,3.512145582942E-10,2.930225173081E-10,3.742689389934E-10
99,3.746392520752E-10,4.234040683005E-10,3.620291339401E-10,3.285061204834E-10,3.958878372272E-10,3.619829875035E-10,4.099671091995E-10,3.554371399275E-10,2.964468123535E-10,3.786342353057E-10
100,3.789882939739E-10,4.284382491241E-10,3.662103502545E-10,3.322846567869E-10,4.004128557698E-10,3.661786037246E-10,4.149080502382E-10,3.596867567173E-10,2.998964884623E-10,3.830282484096E-10
101,3.83364958616E-10,4.335019094779E-10,3.704168962766E-10,3.360887379756E-10,4.049688418873E-10,3.704020083557E-10,4.198784095098E-10,3.639633288515E-10,3.03370776418E-10,3.874501916399E-10
102,3.877691598785E-10,4.385940190729E-10,3.746486511178E-10,3.399182505633E-10,4.095546783703E-10,3.746522358037E-10,4.248779592271E-10,3.682666491407E-10,3.068687255348E-10,3.9189907444E-10
103,3.922006728296E-10,4.437133347395E-10,3.789053595644E-10,3.437729484863E-10,4.141690080403E-10,3.789281127042E-10,4.29906328999E-10,3.725963777509E-10,3.103891972233E-10,3.963736949253E-10
104,3.966591280778E-10,4.488586441975E-10,3.831866266274E-10,3.476524478081E-10,4.188105175622E-10,3.832285038605E-10,4.349630001008E-10,3.769520369383E-10,3.139310985058E-10,4.008728906302E-10
105,4.011440061203E-10,4.540295511547E-10,3.874919120903E-10,3.515562214233E-10,4.234788505633E-10,3.875531035919E-10,4.400472997439E-10,3.813330057829E-10,3.174941323496E-10,4.053963453495E-10
106,4.056546316922E-10,4.592257826593E-10,3.918205250587E-10,3.554835937615E-10,4.281738028405E-10,3.919017381991E-10,4.451583953465E-10,3.857385149226E-10,3.210781371681E-10,4.099438779313E-10
107,4.101901681152E-10,4.644469424958E-10,3.961716185088E-10,3.59433735492E-10,4.32895036104E-10,3.962741178347E-10,4.502952888025E-10,3.901676412869E-10,3.246828521693E-10,4.145151892793E-10
